"address_id";"user_id";"city";"state";"postal_code";"country"
1;1;"Dharwad";"Karnataka";"580008";"India"
2;2;"Dharwad";"Karnataka";"59004";"India"
4;4;"Dharwad";"Karnataka";"59004";"India"
5;8;"gangavati";"Karntaka";"583227";"india"
6;10;"gangavati";"Karntaka";"583227";"india"
9;11;"New York";"New York";"10001";"USA"
10;12;"Los Angeles";"California";"90001";"USA"
11;13;"San Francisco";"California";"94101";"USA"
12;14;"Chicago";"Illinois";"60601";"USA"
13;15;"Miami";"Florida";"33101";"USA"
14;16;"Dallas";"Texas";"75201";"USA"
15;17;"Seattle";"Washington";"98101";"USA"
16;18;"Boston";"Massachusetts";"02101";"USA"
17;19;"Denver";"Colorado";"80201";"USA"
18;20;"Phoenix";"Arizona";"85001";"USA"
19;21;"Washington";"DC";"20001";"USA"
20;22;"Portland";"Oregon";"97201";"USA"
21;23;"Austin";"Texas";"73301";"USA"
22;24;"Atlanta";"Georgia";"30301";"USA"
23;25;"Houston";"Texas";"77001";"USA"
24;26;"San Diego";"California";"92101";"USA"
25;27;"Sacramento";"California";"94203";"USA"
26;28;"Las Vegas";"Nevada";"88901";"USA"
27;29;"Minneapolis";"Minnesota";"55401";"USA"
28;30;"Indianapolis";"Indiana";"46201";"USA"
